PID,Brand,Model No,Inhouse model no.,Shape,Alpha Size,Size,Plating Color,Paint Color,Lens Type,Lens Code,Lens tint color,Tips Shape,Tips color,Tip Code,TR Part Code,A Width (mm),B Height (mm),DBL (mm),Temple Length (mm)
241135,VC Sun,VC S19030,VC S19030,Geometric,136,M,Japnese Gold with EPL,,Sunglass,SG146,Smoke Gradient,TT4(70),Jinliang F1797,,Black opaque shiny,51.5,41.4,21.6,145
241136,VC Sun,VC S19030,VC S19030,Geometric,136,M,Silver with EPL,,Sunglass,SB15,AQUA,TT4(70),Jinliang F1H00120,,JINLIANG F1680,51.5,41.4,21.6,145
241137,VC Sun,VC S19031,VC S19031,Geometric,142,W,Gold,,Sunglass,GG23,GREEN FADE,TT4(75),Jinliang F1H00120,,-,55.2,48.1,20.1,150
241138,VC Sun,VC S19031,VC S19031,Geometric,142,W,Silver with EPL,,Sunglass,SB15,AQUA,TT4(75),Jinliang F1H00120,,-,55.2,48.1,20.1,150
242221,VC Eye,VC E13784,VC E13784,Round,135,M,Dark Gun Metal W/O EPL,Matt Black Cleaning And Temple Enamelling,Dummy,65x1.2x3C,Transparent,Original,,,-,51,47.1,18,148
242222,VC Eye,VC E16002,VC E16002,Square,134,M,Gold,Black,Dummy,65x1.2x3C,Transparent,Original,,,-,51.5,44,16,140
242223,VC Eye,VC E16002,VC E16002,Square,139,W,Gold,Black,Dummy,65x1.2x3C,Transparent,Original,,,-,53.7,45.7,15.7,140
242224,VC Eye,VC E000404,VC E000404,Geometric,137,M,Silver W/O EPL,Black,Dummy,65x1.2x3C,Transparent,Original,,,-,52,47.4,21,145
242226,VC Eye,VC E13784N,VCE13784,Round,131,N,Silver W/O EPL,Lavender,Dummy,65x1.2x3C,Transparent,Original,,,-,50.2,46.3,18,148
242229,VC Eye,VC E16656,VC E16656,Geometric,133,N,Silver with EPL,,Dummy,65x1.2x3C,Transparent,Original,,,-,50.9,44.6,17.1,140
242231,VC Eye,VC E16658,VC E16658,Cat Eye,129,XN,Silver W/O EPL,Purple,Dummy,65x1.2x3C,Transparent,Original,,,-,51,39.8,16.1,140
242232,VC Eye,VCE000393,VCE000393,Square,136,M,,,Dummy,65x1.2x3C,Transparent,Original,,,-,50,42.8,20,145
242233,VC Eye,VC E17576,VC E17576,Cat Eye,132,N,Light gold W/O EPL,Rose gold +Purple enamelling,Dummy,65x1.2x3C,Transparent,Original,,,-,50,40.5,20,135
242234,VC Eye,VC E000414,VCE000414,Rectangle,134,M,Gold,Black,Dummy,65x1.2x3C,Transparent,Original,,,-,50.9,33.6,19,145
242235,VC Eye,VC E000399,VCE000399,Rectangle,132,N,Silver with EPL,,Dummy,65x1.2x3C,Transparent,Original,,,-,51,35.7,16,145
242236,VC Eye,VC E13400,VC E13400,Rectangle,130,N,,,Dummy,65x1.2x3C,Transparent,Original,,,-,50,32,17.9,140
242237,VC Eye,VC E13400,VC E13400,Rectangle,130,N,,,Dummy,65x1.2x3C,Transparent,Original,,,-,50,32,17.9,140
242238,VC Eye,VCE000414,VCE000414,Rectangle,134,M,Silver with EPL,Black,Dummy,65x1.2x3C,Transparent,Original,,,-,50.9,33.6,19,145
242661,VC Eye,VC E16187,VC E16187,Cat Eye,136,M,Light gold W/O EPL,Black,Dummy,65x1.2x3C,Transparent,Original,,,-,52.2,38.2,18.1,140
242662,VC Eye,VCE000396,VCE000396,Rectangle,139,W,,,Dummy,65x1.2x3C,Transparent,Original,,,-,56.2,37.9,14.2,145
242663,VC Eye,VCE000397,VCE000397,Square,136,M,Light gold W/O EPL,Rose Gold,Dummy,65x1.2x3C,Transparent,Original,,,-,52.9,40,16,145
242664,VC Eye,VCE000416,VCE000416,Square,132,N,Light gold W/O EPL,Rose Gold,Dummy,65x1.2x3C,Transparent,Original,,,-,50,39.4,18,145
242665,VC Eye,VC E000661,VC E000661,Cat Eye,133,N,Light gold W/O EPL,Rose Gold,Dummy,65x1.2x3C,Transparent,Original,,,-,55,40.9,15.6,145
242666,VC Eye,VC E18242,VC E18242,Rectangle,138,W,Dark gun metal with epl,,Dummy,65x1.2x3C,Transparent,Original,,,-,55,38,18,150
242667,VC Eye,VC E17049,VC E17049,Rectangle,134,M,Dark gun metal with epl,,Dummy,65x1.2x3C,Transparent,Original,,,-,53.9,31,15.9,140
242668,VC Eye,VC E000411,VCE000411,Cat Eye,132,N,Gold W/O EPL,Rose Gold,Dummy,65x1.2x3C,Transparent,Original,,,-,52.9,37.1,17.9,145
242669,VC Eye,VC E17578,VC E17578,Rectangle,127,XN,,,Dummy,65x1.2x3C,Transparent,Original,,,-,50,32,17,140
242670,VC Eye,VC E17578,VC E17578,Rectangle,127,XN,,,Dummy,65x1.2x3C,Transparent,Original,,,-,50,32,17,140
242671,VC Eye,VC E000660,VC E000660,Rectangle,137,M,Gold,,Dummy,65x1.2x3C,Transparent,Original,,,-,58,37.7,15.6,145
242672,VC Eye,VC E17102,VC E17102,Rectangle,135,M,Black Chrome,Semi Matt Black ,Dummy,65x1.2x3C,Transparent,Original,,,-,55.6,34.4,14,145
242673,VC Eye,VC E17102,VC E17102,Rectangle,135,M,Dark gun metal with epl,,Dummy,65x1.2x3C,Transparent,Original,,,-,55.6,34.4,14,145
242674,VC Eye,VC E14938,VC E14938,Square,139,W,Light gold W/O EPL,Black,Dummy,65x1.2x3C,Transparent,Original,,,-,52.4,40.9,17.9,150
242675,VC Eye,VC E14936,VC E14936,Square,136,M,Light gold W/O EPL,Black,Dummy,65x1.2x3C,Transparent,Original,,,-,50.8,39.4,19,149
242676,VC Eye,VC E14937,VC E14937,Square,139,W,Dark Gun Metal W/O EPL,Blue,Dummy,65x1.2x3C,Transparent,Original,,,-,53,39.6,17,149
242696,VC Sun,VC S19000,VC S19000,Aviator,144,W,Silver with EPL,,Sunglass,RUSG14,BLUE SMOKE,TT1(75),Jinliang FRP175,,-,60,53,14,150
242697,VC Sun,VC S19009,VC S19009,Browbar,143,W,Black Chrome,Shiny Black,Sunglass,RBG10,Brown Grad,TT1(80),Black Opaque,,-,59.9,48.6,13.7,150
242698,VC Sun,VC S19024,VC S19024,Round,137,M,Light gold W/O EPL,Rose Gold,Sunglass,BC1503,ROSE FADE DULL,TT3(70),Jinliang FRP175,,-,53.7,50.3,20.4,145
242711,VC Sun,VC S19267,VC S19267,Geometric,142,W,Silver with EPL,,Sunglass,S09,Charcoal,TT1(75),Jinliang F1H00120,,-,54.5,47.2,20.1,150
242712,VC Sun,VC S19267,VC S19267,Geometric,142,W,Black Chrome,Shiny Black,Sunglass,S15,Smoke,TT1(75),Black opaque,,-,54.5,47.2,20.1,150
242713,VC Sun,VC S19268,VC S19268,Round,132,N,,,Sunglass,BC1503,ROSE FADE DULL,TT4(70),JINLIANG F1H00053,,-,50.2,46.3,19.8,145
242714,VC Sun,VC S19268,VC S19268,Round,132,N,,,Sunglass,R- VSG15,Purple fade,TT4(70),JINLIANG F1H00053,,-,50.2,46.3,19.8,145
242715,VC Sun,VC S19269,VC S19269,Rectangle,142,W,,,Sunglass,GG23,GREEN FADE,TT1(75),Jinliang FRP175,,-,56.5,42.4,20.1,150
242716,VC Sun,VC S19269,VC S19269,Rectangle,142,W,,,Sunglass,RUSG14,GREEN FADE,TT1(75),Jinliang FRP175,,-,56.5,42.4,20.1,150
242717,VC Sun,VC S19270,VC S19270,Aviator,143,W,,,Sunglass,SB15,AQUA,TT1(80),Jinliang F1H00120,,-,60,49.6,10.9,150
242718,VC Sun,VC S19270,VC S19270,Aviator,143,W,,,Sunglass,G15,AQUA,TT1(80),Jinliang F1H00120,,-,60,49.6,10.9,150
242719,VC Sun,VC S19271,VC S19271,Geometric,138,M,,,Sunglass,S15,Smoke,TT4(70),Jinliang F1797,,-,52.6,46.4,20,145
242720,VC Sun,VC S19271,VC S19271,Geometric,138,M,,,Sunglass,RUSG14,Smoke,TT4(70),Jinliang F1H00120,,-,52.6,46.4,20,145
242938,VC Sun,VC S19325,BWF2603,Oval,134,N,Gold,,PC,PC- VC390,Grad Purple,VC E13786,Transparent,,-,56.8,43.3,15,147
242939,VC Sun,VC S19325,BWF2603,Oval,134,N,Gold,,PC,PC- RC1401,Grad Rose pink,VC E13786,Transparent,,-,56.8,43.3,15,147
242940,VC Sun,VC S19326,BWF2605,Geometric,139,M,Gold,,PC,SC2602,Grad Smoke,VC E14353,Dark grey,,-,56.2,36.4,15.5,145
242941,VC Sun,VC S19326,BWF2605,Geometric,139,M,Gold,,PC,PC- B81,Blue,VC E14353,Dark grey,,-,56.2,36.4,15.5,145
242942,VC Sun,VC S19327,BWF2608,Rectangle,140,M,Gold,,PC,PC- SG14,Grad Brown,VC E14319,Light grey,,-,56,36.5,15.8,145
242943,VC Sun,VC S19327,BWF2608,Rectangle,140,M,Gold,,PC,PC- S1011,Smoke,VC E14319,Light grey,,-,56,36.5,15.8,145
242944,VC Sun,VC S19328,BWF2602,Rectangle,145,W,Gold,,PC,PC- G1401,Green,VC E13786,Transparent,,-,58.3,32.1,16.3,150
242945,VC Sun,VC S19328,BWF2602,Rectangle,145,W,Gold,,PC,PC- B81,Blue,VC E13786,Transparent,,-,58.3,32.1,16.3,150
242946,VC Sun,VC S19329,BWF2604,Cateye/ Women,137,M,Gold,,PC,PC- RC1401,Grad Rose pink,VC S 13112,Golden,,-,57.8,50.4,15.5,149
242947,VC Sun,VC S19329,BWF2604,Cateye/ Women,137,M,Gold,,PC,PC- SG14,Grad Brown,VC S 13112,Golden,,-,57.8,50.4,15.5,149
242948,VC Sun,VC S19330,BWF2607,Cateye/ Women,132,N,Gold,,PC,PC- G1401,Green,VC E13786,Transparent,,-,55.2,39.9,15.3,147
